
Valores Provisorios - Sujetos a Confirmacion

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2023-01-01;55.114,31;5376786632278;57.013,73;4923669018849;52.543,77;6587069477846;55.858,21;1502569933191;88.054,24;982406795871;51.795,01;4029020293113;56.383,27;189198150738
2023-01-02;55.114,31;5376786632278;57.013,73;4923669018849;52.543,77;6587069477846;55.858,21;1502569933191;88.054,24;982406795871;51.795,01;4029020293113;56.383,27;189198150738
2023-01-03;55.340,52;5412659424216;57.278,05;4957511174776;52.758,48;6630331802232;56.064,67;1508810233294;88.430,56;992869293442;52.017,09;4053240438872;56.602,14;189356200316
2023-01-04;55.273,89;5424178138789;57.192,09;4964525701931;52.704,58;6640991856458;55.981,75;1509950325659;88.304,41;993715900283;51.950,78;4054096605188;56.531,25;189697081025
2023-01-05;55.133,05;5423528428927;57.051,58;4966546424745;52.552,43;6628771527002;55.821,84;1508496587509;88.037,71;991145775132;51.806,05;4045924892894;56.350,06;189389851549
2023-01-06;54.862,09;5402019758263;56.779,86;4948514823028;52.303,18;6605236219492;55.530,48;1502298113905;87.592,21;986944603862;51.511,08;4024181025356;56.035,67;188389681781
2023-01-07;54.862,09;5402019758263;56.779,86;4948514823028;52.303,18;6605236219492;55.530,48;1502298113905;87.592,21;986944603862;51.511,08;4024181025356;56.035,67;188389681781
2023-01-08;54.862,09;5402019758263;56.779,86;4948514823028;52.303,18;6605236219492;55.530,48;1502298113905;87.592,21;986944603862;51.511,08;4024181025356;56.035,67;188389681781
2023-01-09;55.074,32;5432431107723;56.978,18;4962328783764;52.551,49;6642595557979;55.709,64;1508266080738;87.886,19;990414143745;51.766,86;4045165694220;56.239,08;189461287281
2023-01-10;55.141,63;5447560201392;57.027,95;4973227355515;52.651,23;6656895632625;55.739,57;1509748552659;87.973,19;992613456471;51.818,56;4052607910229;56.289,78;189972473203
2023-01-11;55.258,84;5467517042130;57.159,01;4992777824189;52.780,62;6684842773273;55.865,48;1517645590865;88.175,65;996499434414;51.909,49;4063884465314;56.422,74;191309657985
2023-01-12;55.550,83;5508038514771;57.456,55;5017090677443;53.103,94;6736124538642;56.148,03;1528896511686;88.639,53;1002836277178;52.217,70;4091628815698;56.714,75;192938755192
2023-01-13;55.717,98;5529227071675;57.620,87;5038602835036;53.245,80;6759958986124;56.286,48;1535584702250;88.842,22;1006685263941;52.360,09;4104465678003;56.862,45;193892851093
2023-01-14;55.717,98;5529227071675;57.620,87;5038602835036;53.245,80;6759958986124;56.286,48;1535584702250;88.842,22;1006685263941;52.360,09;4104465678003;56.862,45;193892851093
2023-01-15;55.717,98;5529227071675;57.620,87;5038602835036;53.245,80;6759958986124;56.286,48;1535584702250;88.842,22;1006685263941;52.360,09;4104465678003;56.862,45;193892851093
